,Cleaned Text
0,cowok usaha lacak perhati gue  lantas remeh perhati gue kasih khusus elo  basic cowok bego 
1,telat tau elu  edan sarap gue gaul cigax jifla cal licew
2,kadang berfikir  percaya tuhan jatuh kali kali  kadang tuhan tinggal  orang tua rencana pisah  kakak pilih kristen  anak ter
3,ku tau mata sipit
4,kaum cebong kafir dongok dungu haha
5,ya bani taplak kawan kawan
6,deklarasi pilih kepala daerah 2018 aman anti hoaks warga dukuh sari jabon
7,gue selesai re watch aldnoah zero  kampret endingnya  2 karakter utama cowok kena friendzone bray  xd
8,admin belanja po baik nak makan ais kepal milo  ais kepal horlicks cendol toping kau kaw   doket  gerai rozak meuaku taipan 2 kembar baby amp romantika bank islam senawang 
9,enak ngewe
10,gue jari lu  gue ukur nyali bacot
11,banci kaleng malu peanyaan 2  nyungsep koe
12,ajar ekonomi mesti jago privatisasi hati orang  duh  ironi
13,aktor huru hara 98 prabowo si lengser perintah jokowi  nyata
14,bu guru enak jablay guru sekolah dasar sih  kayak nikmat pecun guru 
15,lawan bicara gue intelek kayak loe  otak  kencing onta  gue aku hadis nabi sahih  kafir kayak tolak  ahlunnar 
16,pikir ampas banget ya
17,ari bek rapi monyet
18,cowok gantle gantle nama banci 
19,alga mnr bom
20,anjing ya gue jarang ngambek  takut wkwk gue bucin 
21,noob peluang sakit nya gede sih
22,joko widodo nilai presiden lemah sejarah indonesia  jokowi milik modal dukung politik  ketidakmampuan perintah hadap situasi ekonomi
23,ajar camat bilah hilir deklarasi anti hoaks amp pilih kepala daerah 2018 damai
24,bandara udara internasional keajati bangun gubernur ahmad heryawan anggar dapat belanja negara perintah pusat  insya allah operasi
25,gubernur presiden  rakyat  ya 
26,sih kerja delay mulu  setan 
27,turut pintu sorga pintu sorga asli pintu hati modus banget
28,partai komunis indonesia muncul jelang pilih kepala daerah pilih presiden goreng gosong 
29,nenek nenek heran cebong bohong
30,islam nusantara produk jil  pasar gencar antek jil  jil anti arab  pro aseng  almarhum kh  hasyim muzadi 
31,habis sahur jam si bayi nete 4x  lemas
32,kak emak suka sipit wkwk
33,laku homo jaman now  ngentot live blued gay video gvid lokal hangat
34,kak  gue orang jawa maaf ya gue orang palembang  kakak deh ajar aksara jawa  kelak ajar budaya palembang 
35,pegawai guardian training kayak mentang mentang gue kayak gembel kaos flat shoes dijutekin bangsat malas beli kabur gue matahari
36,bajing luka lady terima ganjar ratus kali lipat  sanji selamat ulang laut jkt 48
37,aja tolak berita hoaks sukses pilih kepala daerah wilayah kota diri
38,presiden ri jokowi kerja nya tulus ikhlas rakyat jokowi
39,edan tuju fabiano 
40,dalam al alquran ya bang  mulut kayak orang kafir bejat hina farhat abbas law
41,beda wibawa  wibawa gubernur indonesia masya allah 
42,anjir kali lihat orang bego debat pilkada  kerja serang karakter  kecewa on empok silvy and agus  debat final pilih kepala daerah jakarta
43,gubernur zaman now gus ipul puti 2 ganjar yasin 1 djarot sihar 2 hasan anton 2 koster ace 1 nurdin sudirman 3 karolin gidot 2 keanekaragaman budaya  suku  agama  sungguh kaya   djarot hadap pesea rakercabsu 
44,iya islam lokalisasi  kristen mas nusantara mas  lihat gereja bandung pakai gamelan khotbah pakai bahas sunda jawa  huria kristen batak protestan nusantara 
45,cipta situasi aman tertib masyarakat jelang pilih kepala daerah 2018  kepala polisi sektor konang silaturahmi tokoh masyarakat
46,positif  positif respon masyarakat cangkul impor garam impor beras impor jagung impor tenaga kerja impor esemka impor
47,sembahyang adopsi tradisi lokal kerja hindu  istilah sembahyang lahir tradisi ritus menyembahhyang tunggal  salat sembah all
48,didik bodoh  gk larang bawa agama  biar orang islam bayar ahok sadar pilih ahok gila
49,ahok the best  abai kaum kampret otak micin 
50, sih otak tempurung ladenin  lawan dungu  makan  hehe
51,awaasss  berita saudara gerung  susah cari kosakatany  bocor picing mata  bibir monyong samping  suara ky nhn kentut  politik kotor zaman   b  pulang ky nhn ngeden  dungu  
52,pinokio umur 3 tahun tuh  2019 ganti presiden
53,cerita silat lae kho merah muda oh indonesia  liang ie shen tulis cina
54,benci umat islam
55,provokasi mayat  politisasi agama sebab kalah pilih kepala daerah dki  cebong deskripsi kalah junjung  for your information ahok pilih apa camat wakil etnis mayoritas
56,gue nete
57,wkwk bani lowo
58,takabur lahir  kuasa  rakyat  ulama cendikia  iblis makhluk alim amp ibadah atus ratus laknat hasud takabburnya  ahli ilmu filsafat failosof mari demo sendi
59,a orang suka konser konser  boros 
60,makan racun  ulama hukum rokok mubah 
61,susilo bambang yudhoyono presiden ri 6 khofifah emil masyarakat  no 1  bagus khofifah emil nomor
62,kali  gue gemar korea pop omong teman teman gue  idol gue banci homo
63,suka video kisah seteru haji bolot amp malih tongtong
64,budaya kafir sungguh  islam diendahkan 
65,la  hm hem diam  bisu coba rumput goyang
66,setan bisik was was kepada  minta lindung allah  qs  al a raf 200 fussilat 36 
67,atheis  ngapain sibuk agama orang 
68,lengser jokowi bangsat 
69,selamat kain 2019 ganti presiden 2019 presiden
70,bajing homo  hati hati anak anak kamar mandi laki 2  biar 
71,iya cocot
72,budaya indonesia 
73,ajar salat a orang asing pecah belah islam
74,x bicara bangkai
75,percaya negara jajah ranah bubar sistem sistem beraja negara jadi negara republik komunis negara negara jaja
76,nikmat bijak usul pki  iya opo 
77,umpama orang cina usir paksa indonesia
78,bunda ngentot yuk
79,cina babi  cina maling  usir cina hypertext transfer protocol over secure socket layer t co 9y4hiwhjp2
80,karno anti asing beliau jawa  coba deh adakan konsensus jawa anti asing pro asing kebo ohannya  keliru tutup akun
81,proyek korupsi rezim susilo bambang yudhoyono
82,wajar  lihat tingkah petinggi negeri suka campur bahas indonesia bahas asing kali bicara
83,ab pribadi senang kompetisi positif
84,kitab suci agama bilang om dadak kalap
85,suka tutup mata  tutup teutup gara gara sipit 
86,muslim nista kitab suci alquran an  alquran an suku detik makna faktual umat islam  makna sirat fiksi
87,eh kasar kampang
88,bentar gue rilis album the onta si wkwk
89,cebong bang
90,najis banget gue mentwit barusan he
91,transgender anjing
92,awas bintit intip titit kucing
93,bawel  baper  bolot   bodor  wkwk ya deh
94,gue saran bacot maling ayat  langsung to the point orang  paham riak kafir sesat  liberal  puja dukun  bla blaaa  hati puas deh 
95,salah target ahok  agenda utama lengser jokowi 
96,kena tagar panas  banget 2019 ganti presiden
97,maju duit goyang kaki pape  duit nak maju kat bodoh
98,huria kristen batak protestan diri pecah kristen katolik zaman jajah belanda  dl nama kristen protestan kristen khatolik  pecah diri huria kristen batak protestan pama kali tarutung  k
99,  baca biar pintar  jepang  amerika  china  utang  tau  
100,prabowo kalah sebut bantu jokowi citra ratap pilu
101,takut azan iblis
102,goblok bani cebong tukang tipu jilat kuasa tahu gera bayar pakai nasi bungkus  propaganda nasi bungkus gagal 
103,wuih  cebong sewot 
104,gera tekan kerja keras total tingkat potensi bangsa
105,gubernur djarot  mayoritas paai politik dewan wakil rakyat daerah dukung ahok djarot  payah ya
106,rezim rusak baik sistem sibuk cari cari salah ketemu aja  komisi berantas korupsi alat  besok perintah ganti ulang engah selesai organisasi  orang
107,orang orang tuding antek aseng  asing sungguh beepuk tangan 
108,anti asing
109,selamat moga kiprah  tingkat nasional 
110,asyik menang sih ulama
111,tahu ketapang tenaga kerja asing asing usaha  pt who tambang bauksit viral pilih presiden  kerja era gubernur cornelis wakil
112,anak pecun  hobi zina  haha
113,bom surat harga syariah negara
114,istirahat presiden momentum  saksi telinga mata rapat bentuk pacitan 2003
115,1979  house select committee on assassination hsca temu cacat investigasi fbi warren commission  hsca simpul tembak konspirasi dalam 
116,genap 1 17 april 2018 gelar hajat pilpres  acara tahun negara indonesia pilih presiden  moga senantiasa jalan aman lancar  amin 
117,ian pantat
118,aku orang pintar agama  memang agama boleh nista hujat orang   orang bodoh  orang maaf lahir idiot  harga cipta tuhan  iblis pintar licik 
119,daftar calon presiden pilih presiden 2019 buka agustus 2018  normatif politikus partai demokrasi indonesia juang paham  2019 ganti presiden 
120,sih tolol tau perintah rezim komunis bobrok koruptor pimpin sidang dewan wakil rakyat paya cebong
121,gue mantan mantan gue sedih pikir tidur lohh   gue anak berengsek laki laki
122,cina usak bangsa  usir  stuju 
123,2019 ganti presiden konstitusional hak rakyat woiii   nih plonga plongo laku otoriter 
124,mari wujud pilih kepala daerah kota bengkulu 2018 aman damai  cok adem 86 98heru 
125,serius presiden jokowi islam nusantara  knp kristen nusantara  budha  hindu kong hucu nusantara 
126,sama nyata moeldoko bukti istana takut bangkit umat islam
127,cowok jago drasex  ngentot adik luvian
128,kroasia kafir tauuu  ngapain ajar kapir  udh lupa kapling sorga 
129,nya menteri suhao homo 
130,gue tau culun takut orang ubah perlahan lahan buruk
131,perang salib raja afrika bagi babilonia peluk kristen tobaco peluk islam
132,kejar setor bangsad  rupiah turun
133,moga tindak  lapor  nista agama  adek armando langsung ketua front bela islam kh  shobri lubis badan reserse kriminal markas polri  gambir  jakaa pusat selasa 10 4 13 00 wib  perhaps
134,bangke  hajar 
135, onta mati banyak minum
136,ahok tng was was hidup
137,sul teng   ekses akibat sandera hutang cina  2019 ganti presiden 2019 presiden 2019 jokowi ganti
138,pride yunani hyper phania angkuh harga sombong kenal sebut hubris vanity  harga ubah manusia sombong  sombong manusia kutuk mata tuhan dan manusia cinta
139,bea tuju hati logika hati tenang bea logika hati sedih ku cari wasiat beliau tinggal  asing asing mata manusia  duhai 
140,beaji nya komisi berantas korupsi era  era komitmen berantas korupsi surat pemberitahuan tahun era sby 
141,admin tolol paai tolol paai tolol orang tolol
142,ayu ting ting goyang hot raffi ahmad  nagita slavina kampung  norak
143,video tenaga kerja asing malaysia kutip nyata
144,ppp buru buru tolak wacana pilih kepala daerah dewan wakil rakyat daerah
145,random pagi pagi samper meja kerja pakai bedak sih biar muka bersih  istri butek ku pakai air wudhu ku kristen 
146,gue kampret
147,memek lonte sodok kontol gede
148,jokowi mundur  tutup 
149,bicara itu mulut pei banci  beli kaca lihat diri   bro
150,amin ras  dan ratna sih paiiit  sih onta  sih lobang anus  takut oi wo  habis obat tenang yh 
151,tunggu komando imam bejat cabul  tai bir bawa ulama  dasar banj sempak
152,kabinet beranta pecah belah satu rezim
153,dih  aku pintar orang politik  kaca oi tampang k k orang bego  wkwk
154,partai demokrasi indonesia juang menang tekan usaha tambang target proyek impossible  lelang murah antek cina  ntb contoh  partai demokrasi indonesia juang menang  dasar bajing
155,percaya mulut buaya mu bawang
156,2019  susilo bambang yudhoyono prabowo satu lawan mega jokowi  peristiwa 2004 ulang mana partai demokrasi indonesia juang incumbent kalah mutlak sby  jokowi mega susilo bambang yudhoyono lawan prabowo  mk pilih presiden selesai  3 poros pilpres  mk salah lawan
157,kayak banci kaleng gatot gaduh gentleman mundur saing pilih presiden 2019 lawan jokowi
158,bebal 
159,indonesia negara populasi muslim besar dunia  islam musuh barat amp komunis hambat agenda penting  obviously
160,umuh persib persib kunyuk 
161,film muslim pilih ahok mati sholatin  jamin laris 
162,banu banu yahudi beda banu banu kristen syriac  salah beda banu yahudi pakai eloah elohim yahwe suriah pakai alah allah
163,eh muka merah merah tu  cendol  setan cuaca nih panas 
164,berita saracen diframing katak akan tim prabowo anies sandi  media tumpah sakit hati katak cebong  ehe
165,giat bhayangkara bina aman tertib masyarakat brigadir polisi manajemen bas sekolah sihombing  rabu 11 april 2018 laksana sambang desa tatap muka pantau aman tertib masyarakat pilih kepala daerah 2018 desa lobusiregar i  tepat rumah rudi panjaitan  helm siahaan hotman siahaan
166,sayang banget ya perempuan kayak gin  status tempel laki laki  haduh  nagita slavina blak blak ayu ting ting kampung viva
167,lupa kang  umat katolik minoritas diperhatika  gubernur golong golong 
168,cebong bilang kemarin eyel situ paksa cebong 
169,lemah gerindra orang   prabowo turun elektabilitasnya congor fadli zon surat pemberitahuan tahun durno
170,selamat kain  kali raya  makna kali  
171,foto bisu  tpi milik ai susah diaikan  sma pei susah diaikan  putus 
172,wkwk alam muncul grub wa a  n bani abdi had a  k  a mbah mek kenal orang
173,ayah pres badar nuqaba boekkk   nih hebat bidang agama  x takut natural killer tegur member sndiri  lawak hambar lawak orang jom gerak gera badan chubby  
174, anak pekan ilham dasar ekonomi deb gerak utama maju ekonomi bandar  beliau allah ya rahman tun abdul razak  ds malaysia pilih hogohundi
175,haha sialaaan nih sih  laper  presiden sikat 
176,nasihat kali ugal ugalan nih rezim  eh negeri keburu ancor  ekonomi moral marit  kacaooo 
177,alah silit kebeler   dikasianin    orang sayang    media sosial gue sadar instansi kemarin    tar gue ceritain    duuuhhh  
178,iya  cacat
179,2019 rakyat makan aspal beton solusi jitu kurang miskin ahli cebong 1  tukang tipu  cebong gitu  goblok ketulungan  plonga plongo akibat optimisme 2019 ganti presiden
180,baca harun yahya belot kubu yahudi freemason nya  kdg suka percaya 
181,maju ulama gerak tokoh agama indonesia gus mus
182,
183,mukidi percaya peanyaan mudah ya  keras  keras  nama 
184,kemarin hujat harap dasar bani kampret
185,jelas fitnah  sila ban apollinaris darmawan al alquran kitab sampah
186,monyet koloe bilang saudara ogah  hidup ya  hati comberan 
187,body lufra scrub bahan dasar lidah buaya melembabkan kulit amp cahaya info 08781202639 4 body mass index
188,cacat masa
189,anut bumi datar  teori bumi bulat orang asing notabene musuh 
190,becak warga binjai sita tenda beuliskan 2019gantipresiden  partai adil sejahtera radang bukti perintah panik takut 
191,jokowi mundur 
192,musyawarah nasional alim ulama ppp semarang  hasil rekomendasi syarat kriteria kriteria calon wakil presiden damping jokowi 2019  romahurmuziy
193,cerah nya  gagal anak ekonomi  wkwk
194,kafan asal budaya yahudi  umat islam klaim 
195,rezim kendali negara cina komunis patron tunggal rezim anti islam jokowi
196,tanda nya pilih kepala daerah pilih presiden
